,BC001-cDNA,BC002-cDNA,BC003-cDNA,BC004-cDNA,BC005-cDNA,BC015-cDNA,BC016-cDNA,BC018-cDNA,BC020-cDNA,BC048-cDNA,BC049-cDNA,BC051-cDNA,BC105-cDNA,BC108-cDNA,BC262-cDNA,BCL01-cDNA,BCL03-cDNA,HNF132-cDNA,HNF133-cDNA,HNF134-cDNA,HNF144-cDNA,HNF168-cDNA,HNF185-cDNA,HNF187-cDNA,HNF189-cDNA,HNF190-cDNA,HNF191-cDNA,HNF216-cDNA,HNF217-cDNA,HNF224-cDNA,HNF225-cDNA,HNF229-cDNA,HNF236-cDNA,HNF237-cDNA,HNF242-cDNA,HNF250-cDNA,HNF267-cDNA,HNF269-cDNA,HNF279-cDNA,YSF004-cDNA,YSF117-cDNA,YSF295-cDNA,YSF296-cDNA,YSF298-cDNA,YSF300-cDNA,YSF44-cDNA,YSF45-cDNA,YSF46-cDNA,YSF47-cDNA,YSF65-cDNA,YSF66-cDNA,YSF69-cDNA,YSF70-cDNA,YSF71-cDNA,YSF74-cDNA
Otu00023,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Otu00024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Otu00025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Otu00026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Otu00027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Otu00028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Otu00029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Otu00030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Otu00031,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
Otu00032,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
